"","date","open","high","low","close","volume","adjusted"
"2745",2008-11-28,13.528571,13.537143,13.122857,13.238571,74443600,8.961936
"2746",2008-12-01,13.042857,13.181429,12.702857,12.704286,230941900,8.600249
"2747",2008-12-02,12.861428,13.235714,12.357142,13.21,287180600,8.942597
"2748",2008-12-03,12.771428,13.747143,12.685715,13.7,334670000,9.274304
"2749",2008-12-04,13.49,13.601429,12.722857,13.058572,272842500,8.840086
"2750",2008-12-05,12.907143,13.498571,12.694285,13.428572,260948800,9.09056
"2751",2008-12-08,13.897142,14.4,13.685715,14.245714,296285500,9.643728
"2752",2008-12-09,14.005714,14.8,13.887143,14.294286,300874000,9.67661
"2753",2008-12-10,13.981428,14.212857,13.785714,14.03,234511900,9.4977
"2754",2008-12-11,13.907143,14.462857,13.547143,13.571428,260154300,9.187265
"2755",2008-12-12,13.257143,14.142858,13.218572,14.038571,260293600,9.503502
"2756",2008-12-15,13.712857,13.744286,13.285714,13.535714,222939500,9.163091
"2757",2008-12-16,13.425714,13.782857,13.25,13.632857,273376600,9.22885
"2758",2008-12-17,13.004286,13.014286,12.574286,12.737143,323465100,8.622491
"2759",2008-12-18,12.758572,12.975715,12.634286,12.775714,214354000,8.648604
"2760",2008-12-19,12.848572,12.991428,12.685715,12.857142,200480000,8.703727
"2761",2008-12-22,12.86,12.861428,12.098572,12.248571,211185100,8.291751
"2762",2008-12-23,12.41,12.552857,12.271428,12.34,158757900,8.353647
"2763",2008-12-24,12.305715,12.321428,12.078571,12.148571,67833500,8.224052
"2764",2008-12-26,12.377143,12.488571,12.177143,12.258572,77081200,8.298519
"2765",2008-12-29,12.36,12.517143,12.152857,12.372857,171500000,8.375886
"2766",2008-12-30,12.488571,12.578571,12.102858,12.327143,241900400,8.344941
"2767",2008-12-31,12.281428,12.534286,12.191428,12.192857,151885300,8.254035
"2768",2009-01-02,12.268572,13.005714,12.165714,12.964286,186503800,8.776257
"2769",2009-01-05,13.31,13.74,13.244286,13.511429,295402100,9.146649
"2770",2009-01-06,13.707143,13.881429,13.198571,13.288571,322327600,8.995786
"2771",2009-01-07,13.115714,13.214286,12.894286,13.001429,188262200,8.801402
"2772",2009-01-08,12.918571,13.307143,12.862857,13.242857,168375200,8.964839
"2773",2009-01-09,13.315714,13.34,12.877143,12.94,136711400,8.759814
"2774",2009-01-12,12.922857,12.998571,12.507143,12.665714,154429100,8.57414
"2775",2009-01-13,12.605714,12.82,12.335714,12.53,199599400,8.482266
"2776",2009-01-14,12.32,12.464286,12.102858,12.19,255416000,8.252101
"2777",2009-01-15,11.51,12.017143,11.435715,11.911428,457908500,8.063519
"2778",2009-01-16,12.042857,12.054286,11.485714,11.761429,261906400,7.961976
"2779",2009-01-20,11.704286,11.714286,11.171429,11.171429,229978700,7.56257
"2780",2009-01-21,11.341429,11.84,11.33,11.832857,272317500,8.010329
"2781",2009-01-22,12.577143,12.857142,12.26,12.622857,352382100,8.545126
"2782",2009-01-23,12.402857,12.838572,12.357142,12.622857,190942500,8.545126
"2783",2009-01-26,12.694285,12.995714,12.614285,12.805715,173059600,8.668912
"2784",2009-01-27,12.884286,13.078571,12.82,12.961429,154509600,8.774325
"2785",2009-01-28,13.16,13.571428,13.071428,13.457143,215351500,9.109902
"2786",2009-01-29,13.298572,13.477143,13.228572,13.285714,148182300,8.993851
"2787",2009-01-30,13.228572,13.374286,12.858571,12.875714,162869700,8.716297
"2788",2009-02-02,12.728572,13.142858,12.7,13.072857,139561800,8.849757
"2789",2009-02-03,13.131429,13.34,12.897142,13.282857,149827300,8.991916
"2790",2009-02-04,13.317142,13.75,13.3,13.364285,202105400,9.04704
"2791",2009-02-05,13.252857,13.892858,13.231428,13.78,187311600,9.328462
"2792",2009-02-06,13.86,14.285714,13.857142,14.245714,171802400,9.643728
"2793",2009-02-09,14.285714,14.714286,14.214286,14.644286,178752700,9.913547
"2794",2009-02-10,14.475715,14.644286,13.865714,13.975715,212265200,9.460952
"2795",2009-02-11,13.767143,14.044286,13.681429,13.831429,168743400,9.363276
"2796",2009-02-12,13.69,14.25,13.69,14.181429,204297100,9.600208
"2797",2009-02-13,14.141429,14.277143,14.017143,14.165714,152244400,9.589572
"2798",2009-02-17,13.838572,13.862857,13.468572,13.504286,169559600,9.141815
"2799",2009-02-18,13.578571,13.692857,13.245714,13.481428,171194800,9.126339
"2800",2009-02-19,13.338572,13.464286,12.872857,12.948571,230701100,8.765618
"2801",2009-02-20,12.771428,13.2,12.714286,13.028571,187579000,8.819775
"2802",2009-02-23,13.092857,13.142858,12.358571,12.421429,196745500,8.408767
"2803",2009-02-24,12.492857,12.984285,12.428572,12.892858,201776400,8.727906
"2804",2009-02-25,12.837143,13.274285,12.75,13.022857,208263300,8.815908
"2805",2009-02-26,13.142858,13.274285,12.708571,12.741428,157467100,8.625394
